1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;merged
1,26881;1,26547;1,31929;1,32886;1,35198;1,3529;1,36369;1,39249;1,56792;1,56609;1,56578;1,58388;1,72779;1,73394;1,73262;1,72895;2,37013
1,2581;1,2627;1,31602;1,32538;1,35436;1,35307;1,35782;1,38128;1,56247;1,56365;1,5659;1,58831;1,7328;1,73454;1,72748;1,73226;2,37985
1,25125;1,26543;1,31808;1,33084;1,34757;1,35238;1,36403;1,39054;1,56299;1,56872;1,57137;1,58708;1,73164;1,73348;1,73415;1,7297;2,35066
1,24781;1,26411;1,32031;1,33152;1,35329;1,35507;1,36091;1,389;1,56708;1,56808;1,56847;1,58254;1,73183;1,73798;1,72658;1,72994;2,37131
1,26162;1,26705;1,3251;1,32578;1,35364;1,35731;1,36366;1,39698;1,56924;1,56716;1,57631;1,59598;1,73387;1,72895;1,73366;1,73376;2,37938
1,25599;1,2663;1,32263;1,33503;1,35451;1,35828;1,3617;1,38302;1,564;1,56396;1,57101;1,59634;1,73262;1,73174;1,73348;1,73142;2,38145
1,25475;1,26454;1,32139;1,32882;1,35454;1,35778;1,36006;1,38741;1,57007;1,56706;1,57218;1,58537;1,73135;1,72657;1,72686;1,72759;2,36668
1,25356;1,26562;1,31971;1,32234;1,35332;1,35533;1,35812;1,39825;1,56654;1,56605;1,57343;1,59089;1,733;1,72893;1,73364;1,72793;2,37942
1,2534;1,26361;1,31835;1,33264;1,34992;1,34857;1,36904;1,38664;1,56457;1,5688;1,57309;1,59195;1,73186;1,72894;1,72996;1,72986;2,39102
1,24826;1,2663;1,3211;1,32735;1,35163;1,35538;1,36073;1,38799;1,56355;1,56829;1,5668;1,59113;1,72741;1,73148;1,73393;1,73026;2,38381
