1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;merged
0,0308201;0,0348241;0,0307029;0,0341398;0,0360707;0,0336794;0,0350935;0,0367799;0,0390363;0,0391219;0,0394371;0,0419186;0,0410131;0,0401987;0,0402546;0,0420578;0,0375924
0,0318638;0,035244;0,0338943;0,0350408;0,0343142;0,0348542;0,0351083;0,0361623;0,0372783;0,0368339;0,0390158;0,0405353;0,040246;0,0408444;0,0401705;0,0404995;0,0377648
0,0325934;0,0333182;0,0353595;0,0341413;0,0336769;0,0357931;0,0361818;0,0365064;0,0376678;0,0385173;0,0403664;0,0403206;0,0420612;0,0422314;0,0413677;0,0415086;0,036987
0,0321652;0,030618;0,034242;0,03382;0,0348191;0,0346192;0,034746;0,0384566;0,0393688;0,0391069;0,0387638;0,038146;0,0429886;0,0415951;0,0409475;0,0402379;0,0334315
0,0308931;0,0333538;0,030648;0,0360725;0,0355534;0,0340544;0,0363739;0,0352104;0,0384806;0,0389109;0,0380948;0,0375033;0,042124;0,0417244;0,0410861;0,0416342;0,0331832
0,031142;0,0296666;0,0354487;0,0338658;0,0353743;0,0357928;0,0353258;0,0372766;0,0373581;0,0383247;0,0367657;0,0396346;0,0424912;0,0411479;0,0405565;0,0416631;0,037082
0,0336246;0,0300958;0,0304504;0,0348647;0,0359528;0,0341839;0,0350029;0,0349724;0,0376795;0,0373509;0,0371636;0,0397854;0,0419105;0,042596;0,0401389;0,0406876;0,0366702
0,0338251;0,032287;0,0358205;0,0357504;0,0339538;0,0354474;0,0351645;0,036107;0,0384284;0,0379814;0,0388382;0,0387748;0,0410919;0,0422244;0,0401905;0,0403433;0,0338993
0,0317213;0,0302815;0,0346693;0,0359103;0,0344134;0,0344549;0,0350997;0,0369092;0,0390217;0,038031;0,0365666;0,0375359;0,040377;0,0425458;0,0419765;0,0434392;0,0368718
0,0311806;0,0328022;0,0340902;0,0351307;0,0354348;0,0355468;0,0359478;0,0368242;0,0379272;0,0393048;0,0389387;0,0387733;0,0410423;0,0401331;0,0402215;0,040469;0,0322375
