1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;merged
1,01185;1,04844;1,04699;1,0521;1,07542;1,07552;1,0901;1,111;1,24257;1,24449;1,24944;1,26402;1,37438;1,38356;1,37289;1,37487;19,5267
1,00708;1,01037;1,04434;1,05483;1,07495;1,07356;1,10445;1,09753;1,24263;1,2446;1,25133;1,2619;1,37575;1,37985;1,37627;1,37835;19,5325
0,993556;1,02306;1,04788;1,05172;1,07367;1,07342;1,07472;1,10096;1,24533;1,24477;1,24828;1,26423;1,37536;1,37198;1,3732;1,37525;19,5214
1,00255;1,00904;1,04602;1,05383;1,0959;1,0858;1,08031;1,10079;1,24256;1,24508;1,25312;1,26715;1,37511;1,37765;1,37515;1,37416;19,5515
0,993381;1,02781;1,04556;1,05998;1,09046;1,07257;1,07734;1,0981;1,24186;1,24533;1,25026;1,26828;1,38247;1,37414;1,37517;1,37525;19,527
1,00102;1,03157;1,04679;1,05346;1,07294;1,07651;1,08063;1,10285;1,24212;1,24408;1,24949;1,25904;1,37453;1,3743;1,37868;1,37435;19,5274
0,999804;1,0092;1,04684;1,05355;1,07486;1,07917;1,07704;1,10114;1,24107;1,24344;1,24678;1,2615;1,37508;1,37599;1,37339;1,3743;19,5234
0,999901;1,01669;1,04485;1,05289;1,0727;1,08646;1,08168;1,10661;1,24107;1,24718;1,25;1,27701;1,37408;1,37961;1,37473;1,37587;19,6014
0,994473;1,01142;1,04863;1,05069;1,08;1,09439;1,07717;1,09582;1,24371;1,24565;1,25245;1,2734;1,37268;1,37524;1,37684;1,37345;19,5509
0,995289;1,0139;1,04809;1,05333;1,08037;1,07768;1,08061;1,10364;1,24103;1,24901;1,24716;1,26608;1,37622;1,37561;1,37681;1,37576;19,604
