1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;merged
2,28663;2,32649;2,3787;2,3888;2,43202;2,43168;2,43332;2,49901;2,78115;2,78327;2,79272;2,8363;3,05434;3,05178;3,05716;3,06076;24,5752
2,26082;2,33739;2,38431;2,38529;2,43624;2,43341;2,44666;2,49759;2,77675;2,78405;2,79745;2,8324;3,05616;3,05781;3,05504;3,05329;24,7982
2,27917;2,36779;2,38252;2,39167;2,43317;2,43039;2,4454;2,50033;2,77939;2,78414;2,79431;2,8487;3,05581;3,05919;3,06082;3,05473;24,7744
2,26083;2,33548;2,38271;2,38691;2,43377;2,42632;2,45014;2,51183;2,78188;2,78825;2,79571;2,82749;3,05118;3,05661;3,05495;3,05664;24,8257
2,27026;2,35989;2,38124;2,38906;2,43237;2,43229;2,4416;2,4886;2,78287;2,80423;2,79549;2,84179;3,05414;3,05172;3,05722;3,05643;24,8613
2,26623;2,33037;2,37277;2,38738;2,43205;2,43388;2,43877;2,49246;2,78346;2,79198;2,7922;2,83951;3,05635;3,05436;3,05014;3,05727;24,7772
2,25691;2,36499;2,37754;2,3854;2,42497;2,4341;2,44304;2,50099;2,7761;2,79643;2,79826;2,83351;3,05574;3,0573;3,05832;3,06801;24,8068
2,26758;2,30618;2,3888;2,388;2,42675;2,43125;2,4433;2,73349;2,78686;2,78595;2,79767;2,83141;3,05808;3,0524;3,05595;3,05676;24,7701
2,26712;2,29773;2,38203;2,38664;2,43506;2,43387;2,46471;2,49049;2,78506;2,78386;2,79853;2,83252;3,05025;3,05138;3,05965;3,05326;24,7842
2,26925;2,36783;2,38084;2,38947;2,43162;2,43464;2,44665;2,50109;2,78215;2,78641;2,79654;2,82856;3,053;3,05743;3,05139;3,05621;24,8348
