apex5
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
3,64868;1,9499;1,33618;1,05167;0,835142;0,749471;0,676896;0,639781;0,623345;0,545388;0,545525;0,489182;0,518104;0,515404;0,38993;0,431933
3,6475;1,96616;1,33912;1,05572;0,838109;0,739047;0,67306;0,633062;0,623785;0,548357;0,548457;0,487797;0,515723;0,516;0,389308;0,429954
3,64292;1,95804;1,33568;1,05693;0,836362;0,739742;0,684319;0,636504;0,622524;0,54558;0,549281;0,488064;0,51637;0,517207;0,390605;0,431357
3,6454;1,97344;1,33904;1,05537;0,837356;0,737241;0,685341;0,636248;0,622453;0,543725;0,544742;0,488392;0,517434;0,516444;0,390407;0,43188
3,63961;1,97885;1,34457;1,05187;0,837514;0,738611;0,679628;0,637414;0,622263;0,545311;0,547091;0,476886;0,51688;0,518346;0,388749;0,431119
3,63852;1,96943;1,34237;1,06706;0,837076;0,738544;0,672186;0,637764;0,622818;0,545281;0,549952;0,48634;0,517367;0,514729;0,389764;0,430576
3,64918;1,9774;1,34478;1,05958;0,837292;0,740231;0,676706;0,63705;0,623339;0,544628;0,546807;0,48849;0,515797;0,516243;0,389308;0,431179
3,64183;1,97012;1,33832;1,05212;0,839501;0,7423;0,677271;0,641109;0,622654;0,543322;0,545918;0,480328;0,516571;0,515104;0,389564;0,431929
3,64147;1,96684;1,33661;1,06004;0,838572;0,737323;0,684072;0,638892;0,622198;0,545414;0,546963;0,48986;0,516344;0,515969;0,38896;0,431024
3,65253;1,9675;1,34673;1,05334;0,83876;0,73994;0,677472;0,622421;0,623736;0,547687;0,546598;0,478117;0,517437;0,516525;0,390377;0,431203
