misex3
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1,13703;0,714499;0,483043;0,401692;0,329953;0,329099;0,332213;0,260666;0,286591;0,286935;0,287834;0,294388;0,313883;0,315612;0,212418;0,212693
1,13515;0,690651;0,481449;0,401726;0,32951;0,329131;0,331766;0,256573;0,286764;0,287538;0,285852;0,293214;0,315266;0,319896;0,209839;0,210057
1,13124;0,710488;0,478353;0,403073;0,329823;0,330383;0,329861;0,257933;0,286278;0,287747;0,287353;0,293602;0,314687;0,314818;0,210749;0,210618
1,13868;0,711083;0,480541;0,403324;0,329567;0,327298;0,331241;0,257722;0,285377;0,287295;0,288589;0,293402;0,314836;0,314979;0,209966;0,211221
1,1311;0,68862;0,479576;0,404576;0,329288;0,328377;0,329372;0,257418;0,285607;0,285642;0,286696;0,292104;0,316183;0,314225;0,211622;0,210656
1,13212;0,692123;0,481319;0,401827;0,327792;0,329719;0,340577;0,260855;0,285684;0,286633;0,288819;0,295057;0,315872;0,317581;0,211823;0,209965
1,13154;0,694469;0,479017;0,402307;0,329623;0,330509;0,330763;0,257041;0,285677;0,285856;0,286837;0,290468;0,315472;0,315614;0,211037;0,21188
1,13525;0,685683;0,481624;0,401856;0,329475;0,331236;0,335217;0,257858;0,287214;0,286461;0,286495;0,2901;0,315284;0,315669;0,211283;0,211911
1,14884;0,702937;0,482148;0,402645;0,329022;0,330372;0,332434;0,256128;0,28503;0,284731;0,286904;0,292084;0,314108;0,315674;0,211604;0,212549
1,13822;0,68566;0,477078;0,403885;0,329825;0,329727;0,332232;0,256354;0,285922;0,286514;0,289558;0,2922;0,314072;0,315639;0,21203;0,210415
