pdc
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
8,42449;4,54439;3,6524;2,62244;2,67532;2,67768;2,70666;1,65603;1,87228;1,86555;1,87291;1,89471;2,06647;2,06461;2,06423;2,06265
8,41967;4,55188;3,64987;2,62547;2,67479;2,6785;2,69449;1,65405;1,86483;1,86998;1,86937;1,89113;2,06515;2,06274;2,06372;2,06223
8,40898;4,50657;3,65583;2,63354;2,67674;2,67756;2,70044;1,66135;1,86474;1,86646;1,87276;1,90541;2,0588;2,06311;2,06183;2,06315
8,42006;4,51437;3,65184;2,61767;2,6805;2,67815;2,69719;1,65642;1,86147;1,86542;1,87037;1,90212;2,06162;2,06271;2,06672;2,06201
8,41777;4,60626;3,6627;2,62527;2,67472;2,67134;2,68803;1,66961;1,864;1,86511;1,87216;1,8987;2,06574;2,06223;2,06009;2,06545
8,40169;4,5257;3,6599;2,62236;2,68007;2,67488;2,69541;1,67243;1,86558;1,8715;1,87265;1,89746;2,05965;2,0766;2,06096;2,06228
8,41397;4,51859;3,65493;2,62745;2,67342;2,6774;2,7044;1,65144;1,86492;1,86486;1,87839;1,90083;2,06207;2,06509;2,06226;2,06323
8,41396;4,52536;3,66576;2,63727;2,66981;2,67835;2,69502;1,65686;1,86294;1,86512;1,8717;1,89932;2,06442;2,06223;2,05958;2,06232
8,40779;4,51948;3,6611;2,62466;2,67751;2,67549;2,70193;1,64934;1,86318;1,86798;1,87048;1,90287;2,06256;2,06391;2,06565;2,06012
8,4028;4,51609;3,64783;2,6275;2,67788;2,68257;2,69407;1,63962;1,86523;1,86564;1,87387;1,89976;2,06247;2,06084;2,06269;2,05984
