t481
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
0,167778;0,0922815;0,0756136;0,0561057;0,0556747;0,0568524;0,0572435;0,0388525;0,0376028;0,0391599;0,0386154;0,0404994;0,0418197;0,0411812;0,0412856;0,0407214
0,165937;0,0944647;0,0743048;0,0550881;0,0558938;0,0557328;0,0566035;0,0356669;0,0397146;0,0392166;0,0386673;0,0415937;0,0429244;0,0417358;0,0423405;0,0416564
0,164406;0,0957103;0,0770677;0,056155;0,0558787;0,0547392;0,0564106;0,0365359;0,0390579;0,0391275;0,038959;0,0404767;0,0431901;0,0414198;0,0407776;0,0403186
0,163908;0,0913431;0,0759333;0,0558867;0,0558736;0,0546101;0,055714;0,0363862;0,0402234;0,0403457;0,0409888;0,0397003;0,0431688;0,0421025;0,0412399;0,0404655
0,163829;0,0937608;0,0733337;0,0553068;0,056808;0,0553401;0,0598398;0,0347752;0,0385142;0,0394137;0,0397047;0,0390838;0,0425832;0,0407046;0,0406929;0,0411141
0,165746;0,0945749;0,0747021;0,0544202;0,0538679;0,054912;0,0527408;0,0374645;0,0392171;0,0384004;0,0400309;0,0418101;0,0429334;0,0420143;0,0419288;0,0408936
0,165201;0,0937047;0,075018;0,0548518;0,0542704;0,0541575;0,0565455;0,0372961;0,0384217;0,0396269;0,0395001;0,0409819;0,0418347;0,0419088;0,0409569;0,0408937
0,165193;0,0954322;0,0747295;0,0567313;0,0545083;0,0564155;0,0554494;0,0362521;0,0401188;0,0384297;0,0391169;0,0409814;0,0413509;0,0412405;0,0431112;0,0408404
0,164084;0,0916447;0,0758039;0,0551486;0,0552886;0,0547928;0,0577165;0,0375959;0,0381209;0,037806;0,040193;0,0405752;0,0419587;0,0419266;0,0412122;0,0409614
0,167468;0,0954352;0,0730267;0,0574457;0,0554573;0,0554664;0,0577818;0,0374784;0,0386587;0,0382281;0,0402151;0,0396678;0,0404001;0,0410159;0,0421237;0,0409862
