cordic
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1,31736;0,718332;0,521471;0,409345;0,413357;0,298558;0,302348;0,31079;0,340727;0,341816;0,342288;0,215402;0,227475;0,227577;0,22609;0,225992
1,31737;0,743692;0,520326;0,407666;0,4147;0,299049;0,301858;0,308931;0,341151;0,342698;0,34491;0,211307;0,227607;0,228368;0,227087;0,227587
1,2973;0,721486;0,516839;0,406975;0,414854;0,297133;0,302945;0,309376;0,343205;0,343572;0,346043;0,214705;0,227324;0,227733;0,22707;0,22593
1,30836;0,716376;0,517504;0,407094;0,415253;0,298261;0,302743;0,341207;0,344287;0,34184;0,343203;0,213133;0,227003;0,226313;0,226364;0,226389
1,32817;0,742292;0,514908;0,406319;0,414485;0,298716;0,303559;0,310821;0,343199;0,342002;0,344078;0,212677;0,226887;0,228579;0,227619;0,226815
1,29957;0,715754;0,518786;0,406345;0,413661;0,297737;0,300796;0,305711;0,342281;0,343832;0,34364;0,212987;0,226988;0,226972;0,226548;0,228186
1,30742;0,718975;0,517263;0,406524;0,415646;0,298192;0,301492;0,311992;0,342858;0,342867;0,344682;0,215956;0,227399;0,22816;0,226607;0,226633
1,30806;0,740124;0,516573;0,404956;0,414276;0,298907;0,298765;0,30845;0,342299;0,340325;0,343183;0,214051;0,226827;0,228514;0,226844;0,226179
1,30312;0,738079;0,519381;0,406224;0,414211;0,297955;0,303152;0,310935;0,341354;0,34037;0,344437;0,215176;0,227663;0,227863;0,226904;0,227726
1,3016;0,742093;0,516822;0,407954;0,414111;0,298983;0,304963;0,310088;0,339449;0,342475;0,343769;0,215866;0,226679;0,22712;0,226687;0,226074
