seq
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
47,3529;27,9958;20,056;16,7802;15,8852;13,4428;11,1453;9,9499;11,0041;12,2324;8,16152;8,24278;8,72549;8,63113;8,63764;8,61104
47,3664;27,9501;20,0855;16,7614;15,8231;13,469;11,1454;9,96545;11,015;12,2036;8,15691;8,23974;8,72933;8,64879;8,63946;8,61186
47,3759;27,9321;20,0649;16,7833;15,8662;13,4372;11,1777;9,95303;11,0156;12,187;8,15139;8,25164;8,71681;8,6407;8,62383;8,63456
47,3322;28,004;20,077;16,7668;15,874;13,446;11,1706;9,97095;11,0211;12,2318;8,15014;8,2669;8,72871;8,64569;8,6303;8,62286
47,3313;27,9439;20,042;16,7738;15,8429;13,4486;11,1668;9,97892;11,0158;12,217;8,18186;8,22591;8,71863;8,64299;8,62631;8,63023
47,4122;27,9389;20,0656;16,7881;15,8768;13,4254;11,1715;9,98922;11,0099;12,2223;8,17958;8,24451;8,72265;8,65314;8,62675;8,6258
47,3963;27,9165;20,0639;16,7934;15,8636;13,4308;11,1565;9,94813;11,032;12,225;8,17676;8,24572;8,72106;8,64682;8,63688;8,61409
47,3389;27,8893;20,0591;16,7785;15,8351;13,4126;11,1241;9,9822;11,0091;12,2059;8,17085;8,21976;8,71859;8,63511;8,63219;8,63861
47,4647;28,0526;20,0423;16,7785;15,8455;13,4248;11,1625;9,97212;11,0081;12,225;8,17291;8,21453;8,71215;8,64841;8,63853;8,63142
47,5193;27,95;20,0622;16,7808;15,807;13,4208;11,1191;9,96722;11,0067;12,2163;8,18029;8,27398;8,71759;8,65589;8,63495;8,63806
