1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;merged
0,135353;0,135892;0,0957536;0,0976903;0,0973744;0,0974537;0,101065;0,101643;0,112893;0,110624;0,112443;0,115864;0,122671;0,123602;0,121956;0,123307;140,704
0,132178;0,143174;0,0964253;0,0968442;0,0987119;0,0991458;0,0997232;0,100882;0,112896;0,110936;0,112263;0,114841;0,123511;0,12298;0,122002;0,121782;140,842
0,134598;0,143078;0,0966321;0,0964546;0,0986092;0,0959112;0,100002;0,104418;0,11165;0,112654;0,11092;0,114316;0,123491;0,123344;0,121713;0,122019;141,145
0,134352;0,134902;0,0969149;0,097432;0,0986874;0,0989607;0,0995092;0,101819;0,111804;0,11112;0,111287;0,115489;0,122541;0,121583;0,121972;0,122399;140,561
0,136265;0,134163;0,0964299;0,0974375;0,100047;0,0990397;0,0998083;0,103263;0,111162;0,112509;0,113156;0,115958;0,122447;0,123067;0,121655;0,121337;140,51
0,134854;0,141656;0,097125;0,0959599;0,0982513;0,0983788;0,0978424;0,101252;0,112585;0,11249;0,114575;0,114852;0,123703;0,122573;0,123454;0,122989;140,574
0,133104;0,141697;0,0936191;0,0965318;0,0964866;0,0986827;0,0993225;0,100912;0,111358;0,112494;0,112702;0,113493;0,122458;0,121817;0,12189;0,121332;140,471
0,136739;0,135782;0,0962317;0,0967931;0,0973269;0,0978583;0,0994349;0,102616;0,111563;0,112144;0,112432;0,114425;0,123455;0,121851;0,121298;0,123892;141,763
0,13301;0,142483;0,0973885;0,095881;0,0966453;0,0982942;0,0993416;0,100454;0,112294;0,113062;0,113238;0,116556;0,122405;0,122041;0,122808;0,122892;140,628
0,135436;0,14257;0,095172;0,097162;0,0997995;0,0981862;0,100549;0,103963;0,112022;0,112219;0,113088;0,114889;0,121954;0,122561;0,121711;0,121863;140,427
