1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;merged
0,0976847;0,100632;0,070465;0,0698543;0,0705309;0,070593;0,0704795;0,0743968;0,0815181;0,0809137;0,080998;0,0824789;0,0880485;0,0871971;0,086082;0,0866721;1,62111
0,0983256;0,102398;0,0714898;0,0701742;0,0709246;0,0714284;0,0706197;0,0738862;0,0814368;0,0804062;0,0806346;0,0825313;0,0867604;0,087729;0,0874065;0,0865725;1,60647
0,0975865;0,102271;0,071573;0,0688008;0,0707376;0,0717885;0,0715867;0,0737454;0,0805465;0,0813155;0,0810685;0,0819673;0,0906414;0,0888324;0,0867294;0,0864334;1,60982
0,0963274;0,103271;0,069865;0,0715941;0,0704868;0,0699208;0,0722112;0,0731307;0,078827;0,0806864;0,0808123;0,0824021;0,0869926;0,0881997;0,0856628;0,0881783;1,62106
0,0953007;0,100612;0,0688841;0,0692816;0,0716957;0,0715756;0,0727548;0,0765637;0,081242;0,0806236;0,0828625;0,0818842;0,0880823;0,0878076;0,0886605;0,0861486;1,61573
0,0994611;0,10288;0,0706498;0,0709751;0,0727021;0,0698971;0,0713624;0,0762203;0,0813279;0,0808109;0,0794854;0,0820731;0,088534;0,0885889;0,0867137;0,0880305;1,60437
0,0978846;0,102819;0,070181;0,0711685;0,0718039;0,0702097;0,0707822;0,0765416;0,0802547;0,0813351;0,081679;0,0817791;0,0872024;0,0880927;0,0884946;0,0866207;1,61626
0,0959697;0,102493;0,0689768;0,0706224;0,0722918;0,0703079;0,0715082;0,0754635;0,0792007;0,0805974;0,0795146;0,0823781;0,0875874;0,0867762;0,0867467;0,0873163;1,61565
0,0969774;0,102586;0,0700183;0,0687294;0,0696621;0,0715513;0,0733518;0,0749326;0,0803648;0,0815398;0,080288;0,0833347;0,088674;0,0873766;0,0886762;0,0872896;1,60902
0,0956571;0,101216;0,0708197;0,0696103;0,0707296;0,0712272;0,0742802;0,0759648;0,0809356;0,0809426;0,0792274;0,0835584;0,0886527;0,0873595;0,0875913;0,0858096;1,61658
