1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;merged
0,16765;0,16457;0,117423;0,121351;0,122411;0,120964;0,124223;0,123706;0,139844;0,138671;0,138976;0,139693;0,151031;0,151784;0,150558;0,152488;1428,67
0,166493;0,167647;0,117649;0,120319;0,122484;0,124939;0,122546;0,127309;0,139886;0,137182;0,138393;0,13881;0,150913;0,152869;0,150153;0,150542;1427,68
0,166822;0,174095;0,119241;0,119391;0,122093;0,124039;0,126077;0,128855;0,140076;0,138964;0,139375;0,141491;0,151591;0,152722;0,151461;0,151669;1426,91
0,170328;0,175529;0,11873;0,120185;0,120631;0,123087;0,123558;0,126351;0,137857;0,13904;0,140421;0,141853;0,150448;0,152717;0,150814;0,151826;1426,99
0,165867;0,16495;0,118897;0,120581;0,119079;0,122512;0,122706;0,129634;0,139625;0,137784;0,139026;0,140597;0,152526;0,152999;0,150591;0,15133;1426,47
0,166505;0,168318;0,119121;0,121183;0,120111;0,124498;0,120893;0,133815;0,137759;0,139599;0,137658;0,142683;0,152072;0,152661;0,150173;0,150295;1427,51
0,165474;0,170148;0,119261;0,117958;0,12289;0,121608;0,123258;0,133525;0,140358;0,139667;0,139178;0,140607;0,150883;0,152138;0,151025;0,150269;1427,02
0,168897;0,166238;0,119639;0,119698;0,119691;0,12145;0,125197;0,125629;0,139421;0,138118;0,138854;0,140463;0,15344;0,152764;0,152483;0,151455;1428,64
0,165172;0,165077;0,11865;0,119886;0,121326;0,122229;0,127623;0,125647;0,139155;0,140008;0,139195;0,140011;0,15275;0,151299;0,150973;0,150568;1427,48
0,165087;0,167385;0,11956;0,120219;0,122311;0,124421;0,121172;0,125095;0,136595;0,138276;0,140335;0,141719;0,151693;0,151571;0,150144;0,150202;1427,17
