1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;merged
3,41287;3,45212;2,43062;2,44188;2,47121;2,48071;2,48159;2,5403;2,8322;2,8347;2,85261;2,87711;3,09345;3,09063;3,09315;3,08887;5511,84
3,3994;3,55692;2,41982;2,42458;2,48539;2,48668;2,50434;2,53106;2,82014;2,81833;2,83284;2,8749;3,09702;3,0935;3,09415;3,09261;5507,81
3,39906;3,46179;2,42857;2,43559;2,4715;2,46816;2,48366;2,54598;2,81654;2,83435;2,85491;2,87532;3,09112;3,09305;3,09201;3,08984;5481,83
3,40373;3,49289;2,42068;2,42755;2,47852;2,48652;2,50116;2,5306;2,8251;2,83838;2,836;2,86822;3,09349;3,09525;3,09758;3,09488;5507,34
3,412;3,43438;2,42496;2,43567;2,47408;2,47536;2,47861;2,55192;2,82731;2,82833;2,84516;2,87974;3,09628;3,09304;3,08882;3,09629;5488,49
3,39808;3,49352;2,41684;2,42633;2,481;2,49076;2,49917;2,53883;2,83121;2,83918;2,84565;2,86731;3,0975;3,09344;3,08897;3,09185;5483,3
3,39331;3,43878;2,42351;2,44927;2,46985;2,47497;2,48159;2,55197;2,82881;2,83425;2,83024;2,86225;3,09554;3,09426;3,09122;3,0914;5482,26
3,39719;3,45681;2,41895;2,43948;2,47843;2,49106;2,48815;2,53514;2,8301;2,84194;2,83553;2,87025;3,09495;3,09237;3,0926;3,09498;5485,03
3,40226;3,44239;2,42632;2,4672;2,47204;2,4716;2,49436;2,55695;2,8333;2,83916;2,83292;2,8659;3,09224;3,09398;3,09583;3,09366;5488,63
3,39609;3,53843;2,41708;2,43933;2,47449;2,49258;2,49532;2,53014;2,82477;2,84126;2,83592;2,87289;3,09377;3,09275;3,09102;3,0925;5479,87
