cordic;misex3;pdc;apex2;apex1;apex5;apex4;t481;alu4;misex3c;seq;ex1010
4,759;4,205;19,546;2,367;4,999;0,559;0,081;2,543;0,28;0,033;24,794;6,626
4,763;4,184;19,52;2,361;5,065;0,558;0,081;2,538;0,275;0,037;24,722;6,592
4,742;4,193;19,517;2,351;5,049;0,56;0,085;2,538;0,279;0,035;24,778;6,578
4,745;4,212;19,544;2,374;5,006;0,558;0,084;2,538;0,279;0,035;24,75;6,582
4,744;4,222;19,495;2,361;5,058;0,56;0,083;2,534;0,272;0,034;24,875;6,593
4,745;4,211;19,503;2,369;5,045;0,553;0,074;2,538;0,281;0,035;24,728;6,596
4,742;4,222;19,501;2,35;4,959;0,558;0,081;2,537;0,284;0,035;24,83;6,58
4,744;4,233;19,501;2,375;5,053;0,557;0,082;2,539;0,281;0,036;24,721;6,584
4,741;4,204;19,515;2,358;5,004;0,549;0,08;2,536;0,278;0,035;24,695;6,592
4,738;4,196;19,495;2,339;5,052;0,555;0,078;2,536;0,279;0,033;24,783;6,594
