1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;merged
2,17898;2,23655;2,25976;2,27288;2,31931;2,32465;2,32103;2,37499;2,64942;2,66623;2,66501;2,71287;2,92297;2,92419;2,91997;2,92215;4,98632
2,16726;2,20334;2,26819;2,27504;2,31524;2,31628;2,34219;2,38311;2,65881;2,6613;2,67098;2,71546;2,92289;2,92769;2,92399;2,92238;4,98666
2,16483;2,23512;2,25742;2,27297;2,32187;2,32704;2,32173;2,3751;2,65589;2,66025;2,66755;2,71573;2,92129;2,9191;2,92357;2,92385;4,99401
2,16484;2,17542;2,26836;2,26619;2,31162;2,31702;2,34698;2,39423;2,66204;2,66404;2,68096;2,7142;2,92398;2,91769;2,92186;2,91604;4,98513
2,16018;2,24795;2,25986;2,27698;2,31961;2,32328;2,32501;2,37789;2,65682;2,65854;2,67101;2,7106;2,91925;2,92335;2,92255;2,92345;4,98707
2,15796;2,19093;2,26392;2,26971;2,31508;2,31594;2,34641;2,39707;2,65312;2,66153;2,66622;2,71463;2,92125;2,91772;2,92131;2,92272;4,98596
2,16833;2,23775;2,26031;2,28079;2,32257;2,32077;2,31489;2,36808;2,65968;2,66259;2,67601;2,70565;2,92063;2,91934;2,92314;2,91506;4,99154
2,15577;2,26163;2,26754;2,26808;2,31354;2,31536;2,346;2,40816;2,6547;2,66332;2,66494;2,72228;2,91686;2,91987;2,92129;2,9251;4,98299
2,17265;2,17545;2,25709;2,2782;2,31908;2,30877;2,32171;2,38174;2,66371;2,65894;2,68286;2,70416;2,92499;2,92123;2,91887;2,91937;4,98301
2,15607;2,21451;2,26407;2,27068;2,31531;2,32221;2,33524;2,39764;2,65696;2,66343;2,66815;2,72172;2,92495;2,92323;2,92317;2,92217;4,9805
